Date,Home,Away,Home_Win_Prob,Confidence,Diff_NetRtg,Diff_Injury,Diff_Streak,Home_Injuries,Away_Injuries,Odds_Home,Odds_Away,EV_Home,EV_Away,Bet_Signal,Kelly_Home,Kelly_Away
2025-11-29,LAC,DAL,0.69,🟢 High (Home),-0.54,0.13,0,Bradley Beal(3.2); Bogdan Bogdanović(6.4); Derrick Jones Jr.(8.7); Jordan Miller(7.5),Dante Exum(5.0); Kyrie Irving(5.0); Dereck Lively II(5.7),1.26,2.6,-0.13060000000000005,-0.19399999999999984,觀望,,
2025-11-29,PHO,DEN,0.39,Toss-up,-5.79,0.12,0,Grayson Allen(14.7); Ryan Dunn(8.0); Jalen Green(11.2); Isaiah Livers(2.3),Christian Braun(9.6); Aaron Gordon(14.8); Julian Strawther(1.9),2.1,1.43,-0.18099999999999994,-0.12770000000000004,觀望,,
2025-11-29,GSW,NOP,0.83,🟢 High (Home),12.26,-0.01,0,Stephen Curry(19.5); Al Horford(5.2); Jonathan Kuminga(9.9); De'Anthony Melton(5.0); Gary Payton II(3.6),Jordan Hawkins(2.8); Herbert Jones(6.2); Karlo Matković(4.8); Trey Murphy III(15.6); Dejounte Murray(5.0); Jordan Poole(9.7),1.22,2.85,0.012599999999999945,-0.5154999999999998,主EV=0.01🔥,,
2025-11-29,MIL,BRK,0.73,🟢 High (Home),7.51,-0.26,-4,Kevin Porter Jr.(10.1); Taurean Prince(4.1),Haywood Highsmith(5.0); Michael Porter Jr.(17.5); Cam Thomas(12.4),1.12,3.5,-0.1823999999999999,-0.05499999999999994,觀望,,
2025-11-29,MIA,DET,0.49,Toss-up,-1.01,0.46,8,Jaime Jaquez Jr.(13.8); Norman Powell(17.7); Andrew Wiggins(11.8),Bobi Klintman(1.1); Marcus Sasser(5.0),1.46,2.05,-0.2846000000000001,0.045499999999999874,客EV=0.05,,
2025-11-29,IND,CHI,0.4,Toss-up,-8.71,0.51,3,Johnny Furphy(1.5); Tyrese Haliburton(5.0); Quenton Jackson(10.9); Kam Jones(5.0); Andrew Nembhard(12.3); Aaron Nesmith(10.1); Obi Toppin(9.2),Zach Collins(5.0); Isaac Okoro(5.7); Dalen Terry(2.4),2.1,1.43,-0.15999999999999992,-0.14200000000000002,觀望,,
2025-11-29,CHO,TOR,0.23,🔴 High (Away),-12.17,-0.01,-8,Pat Connaughton(3.8); Josh Green(5.0); Grant Williams(5.0),RJ Barrett(14.7),2.95,1.2,-0.3214999999999999,-0.07600000000000007,觀望,,
2025-11-29,MIN,BOS,0.59,Toss-up,0.13,-0.59,-5,,Jaylen Brown(18.5); Neemias Queta(10.4); Jayson Tatum(5.0); Derrick White(13.2),1.26,2.6,-0.25660000000000005,0.06600000000000006,客EV=0.07,,
2025-11-28,OKC,PHO,0.74,🟢 High (Home),12.83,-0.17,9,Thomas Sorber(5.0); Nikola Topić(5.0); Aaron Wiggins(10.4),Grayson Allen(14.7); Ryan Dunn(8.0); Jalen Green(11.2),,,,,無賠率,,
2025-11-28,LAC,MEM,0.59,Toss-up,-1.18,-0.05,-3,Bradley Beal(3.2); Bogdan Bogdanović(6.4); Derrick Jones Jr.(8.7); Jordan Miller(7.5),Brandon Clarke(5.0); Ty Jerome(5.0); Ja Morant(11.7); Scotty Pippen Jr.(5.0); Javon Small(3.2),1.3,2.5,-0.2329999999999999,0.0250000000000001,客EV=0.03,,
2025-11-28,ATL,CLE,0.57,Toss-up,-1.46,-0.34,0,Trae Young(13.8),Jarrett Allen(13.8); Sam Merrill(10.1); Craig Porter Jr.(6.9); Max Strus(5.0); Dean Wade(5.3),2.4,1.32,0.3679999999999999,-0.4323999999999999,主EV=0.37★,,
