Date,Home,Away,Home_Win_Prob,Confidence,Diff_NetRtg,Diff_Injury,Diff_Streak,Home_Injuries,Away_Injuries,Odds_Home,Odds_Away,EV_Home,EV_Away,Bet_Signal
2025-11-30,LAL,NOP,0.88,🟢 High (Home),14.52,-0.27,8,LeBron James(15.2); Marcus Smart(7.2),Jordan Hawkins(2.8); Herbert Jones(6.2); Karlo Matković(4.8); Trey Murphy III(15.6); Dejounte Murray(5.0); Jordan Poole(9.7),,,,,無賠率
2025-11-30,SAC,MEM,0.43,Toss-up,-6.91,-0.07,-4,Domantas Sabonis(14.9); Dennis Schröder(9.8),Brandon Clarke(5.0); Ty Jerome(5.0); Ja Morant(11.7); Scotty Pippen Jr.(5.0); Javon Small(3.2),1.93,1.53,-0.17010000000000003,-0.1278999999999999,觀望
2025-11-30,MIN,SAS,0.66,🟢 High (Home),-2.18,-0.51,-1,,Stephon Castle(14.7); Jordan McLaughlin(3.4); Victor Wembanyama(22.6),1.45,2.07,-0.04300000000000004,-0.29620000000000013,觀望
2025-11-30,POR,OKC,0.18,🔴 High (Away),-18.09,0.31,-12,Donovan Clingan(12.1); Scoot Henderson(5.0); Jrue Holiday(15.2); Damian Lillard(5.0); Matisse Thybulle(6.2); Blake Wesley(5.4),Isaiah Hartenstein(14.0); Thomas Sorber(5.0); Nikola Topić(5.0),,,,,無賠率
2025-11-30,PHI,ATL,0.3,🔴 High (Away),-2.77,0.26,0,Andre Drummond(9.6); VJ Edgecombe(11.6); Joel Embiid(14.7); Kelly Oubre Jr.(12.3); Trendon Watford(8.0),N'Faly Dante(1.1); Nikola Djurisic(5.0); Kristaps Porziņģis(15.8); Trae Young(13.8),1.62,1.82,-0.514,0.274,客EV高=0.27 (Risky)
2025-11-30,NYK,TOR,0.66,🟢 High (Home),0.07,0.07,4,OG Anunoby(12.8); Landry Shamet(7.1),RJ Barrett(14.7),1.22,2.85,-0.19479999999999997,-0.031000000000000028,觀望
2025-11-30,CLE,BOS,0.53,Toss-up,-1.1,0.48,-1,Jarrett Allen(13.4); Lonzo Ball(5.9); Sam Merrill(10.1); Larry Nance Jr.(2.5); Craig Porter Jr.(6.9); Max Strus(5.0),Jayson Tatum(5.0),1.26,2.6,-0.33219999999999994,0.22199999999999998,觀望
2025-11-30,UTA,HOU,0.19,🔴 High (Away),-18.18,0.21,-1,Keyonte George(18.1); Walker Kessler(15.7); Kevin Love(5.3); Georges Niang(5.0),Steven Adams(8.6); Tari Eason(9.1); Dorian Finney-Smith(5.0); Fred VanVleet(5.0),3.5,1.12,-0.33499999999999996,-0.09279999999999988,PASS (Too Low Odds)
2025-11-29,LAC,DAL,0.69,🟢 High (Home),-0.54,0.13,0,Bradley Beal(3.2); Bogdan Bogdanović(6.4); Derrick Jones Jr.(8.7); Jordan Miller(7.5),Dante Exum(5.0); Kyrie Irving(5.0); Dereck Lively II(5.7),1.26,2.6,-0.1306,-0.1939999999999998,觀望
2025-11-29,PHO,DEN,0.39,Toss-up,-5.79,0.12,0,Grayson Allen(14.7); Ryan Dunn(8.0); Jalen Green(11.2); Isaiah Livers(2.3),Christian Braun(9.6); Aaron Gordon(14.8); Julian Strawther(1.9),2.1,1.43,-0.1809999999999999,-0.1277,觀望
2025-11-29,GSW,NOP,0.83,🟢 High (Home),12.26,-0.01,0,Stephen Curry(19.5); Al Horford(5.2); Jonathan Kuminga(9.9); De'Anthony Melton(5.0); Gary Payton II(3.6),Jordan Hawkins(2.8); Herbert Jones(6.2); Karlo Matković(4.8); Trey Murphy III(15.6); Dejounte Murray(5.0); Jordan Poole(9.7),1.22,2.85,0.0125999999999999,-0.5154999999999998,BET HOME (Solid) EV=0.01
2025-11-29,MIL,BRK,0.73,🟢 High (Home),7.51,-0.26,-4,Kevin Porter Jr.(10.1); Taurean Prince(4.1),Haywood Highsmith(5.0); Michael Porter Jr.(17.5); Cam Thomas(12.4),1.12,3.5,-0.1823999999999999,-0.0549999999999999,HOME (Parlay) Win=73%
2025-11-29,MIA,DET,0.49,Toss-up,-1.01,0.46,8,Jaime Jaquez Jr.(13.8); Norman Powell(17.7); Andrew Wiggins(11.8),Bobi Klintman(1.1); Marcus Sasser(5.0),1.46,2.05,-0.2846000000000001,0.0454999999999998,觀望
