Player_ID,Player_Name,Year_Min,Year_Max
abrinal01,Álex Abrines,2017,2019
achiupr01,Precious Achiuwa,2021,2026
acyqu01,Quincy Acy,2013,2019
adamsja01,Jaylen Adams,2019,2021
adamsjo01,Jordan Adams,2015,2016
adamsst01,Steven Adams,2014,2026
adebaba01,Bam Adebayo,2018,2026
adelde01,Deng Adel,2019,2019
afflaar01,Arron Afflalo,2008,2018
agbajoc01,Ochai Agbaji,2023,2026
ajincal01,Alexis Ajinça,2009,2017
akoonde01,DeVaughn Akoon-Purcell,2019,2019
aldamsa01,Santi Aldama,2022,2026
aldrico01,Cole Aldrich,2011,2018
aldrila01,LaMarcus Aldridge,2007,2022
alexacl01,Cliff Alexander,2016,2016
alexaky01,Kyle Alexander,2020,2020
alexatr01,Trey Alexander,2025,2025
alexaty01,Ty-Shon Alexander,2021,2021
alexani01,Nickeil Alexander-Walker,2020,2026
alkinra01,Rawle Alkins,2019,2019
allengr01,Grayson Allen,2019,2026
allenja01,Jarrett Allen,2018,2026
allenka01,Kadeem Allen,2018,2020
allenla01,Lavoy Allen,2012,2017
allenti01,Timmy Allen,2024,2024
allento01,Tony Allen,2005,2018
alvarjo01,Jose Alvarado,2022,2026
aminual01,Al-Farouq Aminu,2011,2021
amundlo01,Lou Amundson,2007,2016
anderch01,Chris Andersen,2002,2017
anderal01,Alan Anderson,2006,2017
anderja01,James Anderson,2011,2016
anderju01,Justin Anderson,2016,2022
anderky01,Kyle Anderson,2015,2026
anderry01,Ryan Anderson,2009,2020
anigbik01,Ike Anigbogu,2018,2019
antetgi01,Giannis Antetokounmpo,2014,2026
antetko01,Kostas Antetokounmpo,2019,2021
antetth01,Thanasis Antetokounmpo,2016,2026
anthoca01,Carmelo Anthony,2004,2022
anthoco01,Cole Anthony,2021,2026
anthojo01,Joel Anthony,2008,2017
anunoog01,OG Anunoby,2018,2026
applike01,Keith Appling,2016,2016
arcidry01,Ryan Arcidiacono,2018,2024
arizatr01,Trevor Ariza,2005,2022
arthuda01,Darrell Arthur,2009,2018
artisja01,Jamel Artis,2018,2018
asikom01,Ömer Aşık,2011,2018
augusdj01,D.J. Augustin,2009,2022
avdijde01,Deni Avdija,2021,2026
ayayijo01,Joel Ayayi,2022,2022
pendeje02,Jeff Ayres,2010,2016
aytonde01,Deandre Ayton,2019,2026
azubuud01,Udoka Azubuike,2021,2024
babbilu01,Luke Babbitt,2011,2018
bacondw01,Dwayne Bacon,2018,2021
badjiib01,Ibou Badji,2024,2024
baglema02,Marcus Bagley,2025,2025
baglema01,Marvin Bagley III,2019,2026
baileac01,Ace Bailey,2026,2026
baileam01,Amari Bailey,2024,2024
bairsca01,Cameron Bairstow,2015,2016
bakerro01,Ron Baker,2017,2019
baldwpa01,Patrick Baldwin Jr.,2023,2025
baldwwa01,Wade Baldwin,2017,2019
ballla01,LaMelo Ball,2021,2026
balllo01,Lonzo Ball,2018,2026
bambamo01,Mo Bamba,2019,2025
banchpa01,Paolo Banchero,2023,2026
banede01,Desmond Bane,2021,2026
bantoda01,Dalano Banton,2022,2025
barbeca01,Cat Barber,2022,2022
barbole01,Leandro Barbosa,2004,2017
bareajo01,J.J. Barea,2007,2020
bargnan01,Andrea Bargnani,2007,2016
barlodo01,Dominick Barlow,2023,2026
barneha02,Harrison Barnes,2013,2026
barnema02,Matt Barnes,2004,2017
barnesc01,Scottie Barnes,2022,2026
barnhbr01,Brooks Barnhizer,2026,2026
barrerj01,RJ Barrett,2020,2026
bartowi01,Will Barton,2013,2023
bassbr01,Brandon Bass,2006,2017
basspa01,Paris Bass,2022,2022
bassech01,Charles Bassey,2022,2026
batesem01,Emoni Bates,2024,2025
bateske01,Keita Bates-Diop,2019,2024
battlja01,Jamison Battle,2025,2026
batumni01,Nicolas Batum,2009,2026
baughda01,Damion Baugh,2025,2025
bayleje01,Jerryd Bayless,2009,2019
baynear01,Aron Baynes,2013,2021
bazemke01,Kent Bazemore,2013,2022
bazleda01,Darius Bazley,2020,2024
bealbr01,Bradley Beal,2013,2026
beaslma01,Malik Beasley,2017,2025
beaslmi01,Michael Beasley,2009,2019
beaucma01,MarJon Beauchamp,2023,2025
beekmre01,Reece Beekman,2025,2025
belinma01,Marco Belinelli,2008,2020
belljo01,Jordan Bell,2018,2022
bembrde01,DeAndre' Bembry,2017,2022
bendedr01,Dragan Bender,2017,2020
bennean01,Anthony Bennett,2014,2017
bentibe01,Ben Bentil,2017,2017
berinjo01,Joan Beringer,2026,2026
bernaju01,Jules Bernard,2024,2024
bertada02,Dairis Bertāns,2019,2019
bertada01,Dāvis Bertāns,2017,2024
beverpa01,Patrick Beverley,2013,2024
beysa01,Saddiq Bey,2021,2026
beyty01,Tyler Bey,2021,2021
birchkh01,Khem Birch,2018,2023
birdja01,Jabari Bird,2018,2018
bitadgo01,Goga Bitadze,2020,2026
bitimon01,Onuralp Bitim,2024,2024
biyombi01,Bismack Biyombo,2012,2026
bjeline01,Nemanja Bjelica,2016,2022
blackan01,Anthony Black,2024,2026
blackle01,Leaky Black,2024,2024
blackta01,Tarik Black,2015,2018
blairde01,DeJuan Blair,2010,2016
blakest01,Steve Blake,2004,2016
blakean01,Antonio Blakeney,2018,2019
bledser01,Eric Bledsoe,2011,2022
blevike01,Keljin Blevins,2021,2022
blossja01,Jaron Blossomgame,2019,2019
blueva01,Vander Blue,2014,2018
boehebu01,Buddy Boeheim,2023,2024
bogdabo01,Bogdan Bogdanović,2018,2026
bogdabo02,Bojan Bogdanović,2015,2024
bogutan01,Andrew Bogut,2006,2019
bolbo01,Bol Bol,2020,2025
boldejo01,Jonah Bolden,2019,2020
boldema01,Marques Bolden,2020,2024
bolmale01,Leandro Bolmaro,2022,2023
bolomjo01,Joel Bolomboy,2017,2018
bonaad01,Adem Bona,2025,2026
bonejo01,Jordan Bone,2020,2021
bongais01,Isaac Bonga,2019,2022
bonnema01,Matt Bonner,2005,2016
bookede01,Devin Booker,2016,2026
booketr01,Trevor Booker,2011,2018
boshch01,Chris Bosh,2004,2016
bostobr01,Brandon Boston Jr.,2022,2025
bouchch01,Chris Boucher,2018,2026
bouknja01,James Bouknight,2022,2024
bouyeja01,Jamaree Bouyea,2023,2025
bowenbr02,Brian Bowen,2020,2021
bowmaky01,Ky Bowman,2020,2020
bradlav01,Avery Bradley,2011,2022
bradlto01,Tony Bradley,2018,2026
brandel01,Elton Brand,2000,2016
branhma01,Malaki Branham,2023,2026
brantja01,Jarrell Brantley,2020,2023
braunch01,Christian Braun,2023,2026
brazdig01,Ignas Brazdeikis,2020,2022
breako01,Koby Brea,2026,2026
breweco01,Corey Brewer,2008,2020
bridgja01,Jalen Bridges,2025,2025
bridgmi01,Mikal Bridges,2019,2026
bridgmi02,Miles Bridges,2019,2026
brimaam01,Amida Brimah,2021,2021
briscis01,Isaiah Briscoe,2019,2019
brissos01,Oshae Brissett,2020,2025
brockiz01,Izaiah Brockington,2024,2024
broekry01,Ryan Broekhoff,2019,2020
brogdma01,Malcolm Brogdon,2017,2025
brookaa01,Aaron Brooks,2008,2018
brookar01,Armoni Brooks,2021,2024
brookdi01,Dillon Brooks,2018,2026
brookke02,Keion Brooks Jr.,2025,2025
brookma01,MarShon Brooks,2012,2019
broomjo01,Johni Broome,2026,2026
brownan02,Anthony Brown,2016,2018
brownbo02,Bobby Brown,2009,2018
brownbr01,Bruce Brown,2019,2026
brownch02,Charlie Brown Jr.,2020,2024
brownch05,Chaundee Brown Jr.,2022,2022
browngr01,Greg Brown III,2022,2024
brownja02,Jaylen Brown,2017,2026
brownke03,Kendall Brown,2023,2024
brownko01,Kobe Brown,2024,2026
brownlo01,Lorenzo Brown,2014,2019
brownma02,Markel Brown,2015,2018
